Frequency,year,Area,State,crop,Unit,Volume
"Annual, Ending mar Of Each Year", 3-2010,0.3159,WestBengal,Wheat,Ton th,846.7
"Annual, Ending mar Of Each Year", 3-2011,0.317,WestBengal,Wheat,Ton th,874.0
"Annual, Ending mar Of Each Year", 3-2012,0.32,WestBengal,Wheat,Ton th,870.0
"Annual, Ending mar Of Each Year", 3-2013,0.32,WestBengal,Wheat,Ton th,910.0
"Annual, Ending mar Of Each Year", 3-2005,1.37,AndhraPradesh,Coarse,Ton th,2771.0
"Annual, Ending mar Of Each Year", 3-2006,1.39,AndhraPradesh,Coarse,Ton th,3862.0
"Annual, Ending mar Of Each Year", 3-2007,1.3,AndhraPradesh,Coarse,Ton th,3001.0
"Annual, Ending mar Of Each Year", 3-2008,1.28,AndhraPradesh,Coarse,Ton th,4274.0
"Annual, Ending mar Of Each Year", 3-2009,1.27,AndhraPradesh,Coarse,Ton th,4716.0
"Annual, Ending mar Of Each Year", 3-2010,1.28,AndhraPradesh,Coarse,Ton th,3318.0
"Annual, Ending mar Of Each Year", 3-2011,1.14,AndhraPradesh,Coarse,Ton th,4348.8
"Annual, Ending mar Of Each Year", 3-2012,1.25,AndhraPradesh,Coarse,Ton th,4230.0
"Annual, Ending mar Of Each Year", 3-2013,1.41,AndhraPradesh,Coarse,Ton th,5440.0
"Annual, Ending mar Of Each Year", 3-2005,0.66,Bihar,Coarse,Ton th,1501.9
"Annual, Ending mar Of Each Year", 3-2006,0.7,Bihar,Coarse,Ton th,1405.5
"Annual, Ending mar Of Each Year", 3-2007,0.69,Bihar,Coarse,Ton th,1759.7
"Annual, Ending mar Of Each Year", 3-2008,0.69,Bihar,Coarse,Ton th,1498.5
"Annual, Ending mar Of Each Year", 3-2009,0.68,Bihar,Coarse,Ton th,1751.3
"Annual, Ending mar Of Each Year", 3-2010,0.66,Bihar,Coarse,Ton th,1508.1
"Annual, Ending mar Of Each Year", 3-2011,0.69,Bihar,Coarse,Ton th,1338.2
"Annual, Ending mar Of Each Year", 3-2012,0.71,Bihar,Coarse,Ton th,1650.0
